Gene,Coefficient,Abs_Coefficient
ENSG00000113389,-0.04027148814641897,0.04027148814641897
ENSG00000073754,-0.040103341837580166,0.040103341837580166
ENSG00000214711,-0.03996737370806719,0.03996737370806719
ENSG00000141161,0.039863582304418096,0.039863582304418096
ENSG00000091664,0.03984871221423743,0.03984871221423743
ENSG00000172789,0.03980867519541161,0.03980867519541161
ENSG00000170890,0.0397570741039263,0.0397570741039263
ENSG00000188771,-0.03963261325310475,0.03963261325310475
ENSG00000135902,0.03955206226722784,0.03955206226722784
ENSG00000197416,0.039162170349601094,0.039162170349601094
ENSG00000170929,-0.039118612355187814,0.039118612355187814
ENSG00000169933,0.03905680233018827,0.03905680233018827
ENSG00000248546,0.038779287046074626,0.038779287046074626
ENSG00000100987,0.03872127447600108,0.03872127447600108
ENSG00000187714,0.03865023450329259,0.03865023450329259
ENSG00000177275,0.038495564391289934,0.038495564391289934
ENSG00000236279,0.038321013135986924,0.038321013135986924
ENSG00000071677,0.03828251042232042,0.03828251042232042
ENSG00000121351,0.03826429692161065,0.03826429692161065
ENSG00000178235,-0.03824742948524414,0.03824742948524414
ENSG00000164651,0.03819402780349552,0.03819402780349552
ENSG00000203664,-0.03802295060436178,0.03802295060436178
ENSG00000135116,0.03784231872932656,0.03784231872932656
ENSG00000253148,-0.03776856296386881,0.03776856296386881
ENSG00000021461,-0.037702847348280215,0.037702847348280215
ENSG00000164400,-0.037668740420374686,0.037668740420374686
ENSG00000152192,0.03765529234154146,0.03765529234154146
ENSG00000258223,-0.037593736213447235,0.037593736213447235
ENSG00000163646,0.037519225237125864,0.037519225237125864
ENSG00000231738,-0.03750808961970632,0.03750808961970632
ENSG00000173157,-0.037393140030714075,0.037393140030714075
ENSG00000174429,0.03730473276976458,0.03730473276976458
ENSG00000112116,-0.0372290556941831,0.0372290556941831
ENSG00000186881,-0.03714825361110725,0.03714825361110725
ENSG00000171054,-0.03713384716486858,0.03713384716486858
ENSG00000134873,-0.03711681803569588,0.03711681803569588
ENSG00000139117,0.037064040581315946,0.037064040581315946
ENSG00000163581,0.037047996004642175,0.037047996004642175
ENSG00000143632,0.03700168743907902,0.03700168743907902
ENSG00000004848,0.03692501116515449,0.03692501116515449
ENSG00000182816,0.036802024994106536,0.036802024994106536
ENSG00000204909,0.036718907015717735,0.036718907015717735
ENSG00000127318,0.03655526712001487,0.03655526712001487
ENSG00000134443,-0.036536748637789336,0.036536748637789336
ENSG00000124233,-0.036517928494693194,0.036517928494693194
ENSG00000115488,-0.03647093988197985,0.03647093988197985
ENSG00000239642,0.03625360716848258,0.03625360716848258
ENSG00000171595,-0.03620352235515073,0.03620352235515073
ENSG00000104313,0.036002529030845595,0.036002529030845595
ENSG00000177047,-0.035995235342185815,0.035995235342185815
ENSG00000272804,-0.03594045156813271,0.03594045156813271
ENSG00000171540,-0.03593898124690297,0.03593898124690297
ENSG00000116882,-0.03588529558842936,0.03588529558842936
ENSG00000103723,0.03587400551610334,0.03587400551610334
ENSG00000092758,0.03584734408117584,0.03584734408117584
ENSG00000174448,0.035803457036160835,0.035803457036160835
ENSG00000165966,-0.035799509221369145,0.035799509221369145
ENSG00000118271,0.03579939516874368,0.03579939516874368
ENSG00000184933,-0.03569519993419382,0.03569519993419382
ENSG00000246705,-0.03564289358843784,0.03564289358843784
ENSG00000180287,0.035292280454086444,0.035292280454086444
ENSG00000120440,-0.03526353791493565,0.03526353791493565
ENSG00000198283,-0.035228154895649504,0.035228154895649504
ENSG00000156886,0.03521798770942272,0.03521798770942272
ENSG00000152595,-0.03521732089439461,0.03521732089439461
ENSG00000091583,-0.03504843874022611,0.03504843874022611
ENSG00000168967,0.03494462729112127,0.03494462729112127
